Measure,Indicator,Region,Year,Food group,Stats,Intake (g/d)
abs,GDD,BHR,2015,prc_meat,low,11.1368
abs,GDD,BHR,2015,prc_meat,high,52.6888
abs,GDD,BHR,2015,red_meat,mean,42.8524
abs,GDD,BHR,2015,red_meat,low,30.7385
abs,GDD,BHR,2015,red_meat,high,60.115
abs,GDD,BHR,2015,fish,mean,36.4302
abs,GDD,BHR,2015,fish,low,25.5569
abs,GDD,BHR,2015,fish,high,52.2601
abs,GDD,BHR,2015,eggs,mean,26.9267
abs,GDD,BHR,2015,eggs,low,20.2138
abs,GDD,BHR,2015,eggs,high,36.452
abs,GDD,BHR,2015,milk,mean,129.558
abs,GDD,BHR,2015,milk,low,94.4612
abs,GDD,BHR,2015,milk,high,180.402
abs,GDD,BHR,2015,dairy,mean,410.753
abs,GDD,BHR,2015,dairy,low,244.448
abs,GDD,BHR,2015,dairy,high,687.245
abs,GDD,BHR,2015,grains,mean,488.949
abs,GDD,BHR,2015,grains,low,294.147
abs,GDD,BHR,2015,grains,high,710.985
abs,GDD,BHR,2015,roots,mean,93.7406
abs,GDD,BHR,2015,roots,low,50.8897
abs,GDD,BHR,2015,roots,high,181.516
abs,GDD,BHR,2015,red_prc_meat,mean,68.7755
abs,GDD,BHR,2015,red_prc_meat,low,41.8753
abs,GDD,BHR,2015,red_prc_meat,high,112.804
abs,GDD,COM,2015,fruits,mean,85.275
abs,GDD,COM,2015,fruits,low,73.5727
abs,GDD,COM,2015,fruits,high,98.5838
abs,GDD,COM,2015,vegetables,mean,96.6292
abs,GDD,COM,2015,vegetables,low,85.1954
abs,GDD,COM,2015,vegetables,high,110.287
abs,GDD,COM,2015,potatoes,mean,48.4248
abs,GDD,COM,2015,potatoes,low,26.8667
abs,GDD,COM,2015,potatoes,high,88.499
abs,GDD,COM,2015,othr_roots,mean,44.8733
abs,GDD,COM,2015,othr_roots,low,37.1713
abs,GDD,COM,2015,othr_roots,high,53.9188
abs,GDD,COM,2015,legumes,mean,9.56205
abs,GDD,COM,2015,legumes,low,6.90306
abs,GDD,COM,2015,legumes,high,13.285
abs,GDD,COM,2015,nuts,mean,9.84113
abs,GDD,COM,2015,nuts,low,5.61776
abs,GDD,COM,2015,nuts,high,18.1418
abs,GDD,COM,2015,prc_grains,mean,197.565
abs,GDD,COM,2015,prc_grains,low,163.703
abs,GDD,COM,2015,prc_grains,high,238.876
abs,GDD,COM,2015,whole_grains,mean,36.1225
abs,GDD,COM,2015,whole_grains,low,16.7648
abs,GDD,COM,2015,whole_grains,high,71.0781
abs,GDD,COM,2015,prc_meat,mean,5.19566
abs,GDD,COM,2015,prc_meat,low,2.05858
abs,GDD,COM,2015,prc_meat,high,13.461
abs,GDD,COM,2015,red_meat,mean,23.6186
abs,GDD,COM,2015,red_meat,low,19.8258
abs,GDD,COM,2015,red_meat,high,27.8917
abs,GDD,COM,2015,fish,mean,55.3183
abs,GDD,COM,2015,fish,low,46.2432
abs,GDD,COM,2015,fish,high,66.1938
abs,GDD,COM,2015,eggs,mean,10.4284
abs,GDD,COM,2015,eggs,low,8.34469
abs,GDD,COM,2015,eggs,high,13.2607
abs,GDD,COM,2015,milk,mean,53.7165
abs,GDD,COM,2015,milk,low,45.0431
abs,GDD,COM,2015,milk,high,64.1696
abs,GDD,COM,2015,dairy,mean,87.658
abs,GDD,COM,2015,dairy,low,67.8888
abs,GDD,COM,2015,dairy,high,115.492
abs,GDD,COM,2015,grains,mean,233.688
abs,GDD,COM,2015,grains,low,180.467
abs,GDD,COM,2015,grains,high,309.955
abs,GDD,COM,2015,roots,mean,93.2981
abs,GDD,COM,2015,roots,low,64.038
abs,GDD,COM,2015,roots,high,142.418
abs,GDD,COM,2015,red_prc_meat,mean,28.8142
abs,GDD,COM,2015,red_prc_meat,low,21.8844
abs,GDD,COM,2015,red_prc_meat,high,41.3527
abs,GDD,DJI,2015,fruits,mean,217.218
abs,GDD,DJI,2015,fruits,low,187.64
abs,GDD,DJI,2015,fruits,high,247.623
abs,GDD,DJI,2015,vegetables,mean,128.671
abs,GDD,DJI,2015,vegetables,low,108.823
abs,GDD,DJI,2015,vegetables,high,151.523
